"","X1","Site","Subplot","SubplotID","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","X","group","dbh.class"
"514",51,"UMBS",130,"A03W",2399,"QURU",8,"L","UN","07/11/2018","2398 - 2399 share base",NA,"A","8-13"
"515",52,"UMBS",131,"A03W",2400,"POGR",37.8,"L","OD","07/11/2018",NA,NA,"A","33-38"
"516",53,"UMBS",131,"A03W",2401,"POGR",30.3,"L","OD","07/11/2018",NA,NA,"A","28-33"
"517",54,"UMBS",131,"A03W",2402,"POGR",42.6,"L","OD","07/11/2018",NA,NA,"A","38-43"
"518",55,"UMBS",131,"A03W",2403,"QURU",8.8,"L","UN","07/11/2018",NA,NA,"A","8-13"
"519",56,"UMBS",131,"A03W",2404,"POGR",28.8,"D","OD","07/11/2018",NA,NA,"A","28-33"
"520",57,"UMBS",131,"A03W",2405,"?",13.7,"D","UN","07/11/2018",NA,NA,"A","13-18"
"521",58,"UMBS",131,"A03W",2406,"POGR",20.6,"D","UN","07/11/2018",NA,NA,"A","18-23"
"522",59,"UMBS",131,"A03W",2407,"FAGR",20.4,"D","OS","07/11/2018",NA,NA,"A","18-23"
"523",60,"UMBS",131,"A03W",2408,"POGR",36,"L","OD","07/11/2018",NA,NA,"A","33-38"
"524",61,"UMBS",131,"A03W",2409,"POGR",27.8,"L","OD","07/11/2018",NA,NA,"A","23-28"
"525",62,"UMBS",131,"A03W",2410,"ACSA",8.7,"L","UN","07/11/2018",NA,NA,"A","8-13"
"526",63,"UMBS",131,"A03W",2411,"POGR",32.8,"L","OD","07/11/2018",NA,NA,"A","28-33"
"527",64,"UMBS",131,"A03W",2412,"FAGR",16.1,"D","OS","07/11/2018","2412 & 2413 share base",NA,"A","13-18"
"528",65,"UMBS",131,"A03W",2413,"FAGR",24.1,"L","OS","07/11/2018","2412 & 2413 share base",NA,"A","23-28"
"529",66,"UMBS",131,"A03W",2414,"ACSA",31.4,"L","OS","07/11/2018","2414 & 2415 share base",NA,"A","28-33"
"530",67,"UMBS",131,"A03W",2415,"ACSA",28.8,"L","OS","07/11/2018","2414 & 2415 share base",NA,"A","28-33"
"531",68,"UMBS",131,"A03W",2416,"FAGR",11.3,"L","UN","07/11/2018",NA,NA,"A","8-13"
"532",69,"UMBS",131,"A03W",2417,"BEPA",14.6,"L","OS","07/11/2018",NA,NA,"A","13-18"
"533",70,"UMBS",131,"A03W",2418,"POGR",28.4,"L","OD","07/11/2018",NA,NA,"A","28-33"
"534",73,"UMBS",131,"A03W",2421,"FAGR",9.6,"L","UN","07/11/2018",NA,NA,"A","8-13"
"535",74,"UMBS",131,"A03W",2422,"POGR",26.8,"L","OD","07/11/2018",NA,NA,"A","23-28"
"536",75,"UMBS",131,"A03W",2423,"FAGR",8.8,"D","UN","07/11/2018",NA,NA,"A","8-13"
"537",76,"UMBS",131,"A03W",2424,"ACPE",12.9,"L","OS","07/11/2018","Shares base with smaller trees",NA,"A","8-13"
"538",77,"UMBS",131,"A03W",2425,"QURU",15.7,"L","OS","07/11/2018",NA,NA,"A","13-18"
"539",78,"UMBS",131,"A03W",2426,"FAGR",12.4,"L","UN","07/11/2018","2426 & 2427 share base",NA,"A","8-13"
"540",79,"UMBS",131,"A03W",2427,"FAGR",21.7,"D","UN","07/11/2018","2426 & 2427 share base",NA,"A","18-23"
"541",80,"UMBS",131,"A03W",2428,"ACSA",10.6,"L","OS","07/11/2018","2428 & 2429 share base",NA,"A","8-13"
"542",81,"UMBS",131,"A03W",2429,"ACSA",22.9,"L","OD","07/11/2018","2428 & 2429 share base",NA,"A","18-23"
"543",82,"UMBS",131,"A03W",2430,"POGR",38.2,"L","OD","07/11/2018",NA,NA,"A","38-43"
"544",83,"UMBS",131,"A03W",2431,"FAGR",11.8,"L","UN","07/11/2018","2431 2432 & 2465 share base",NA,"A","8-13"
"545",84,"UMBS",131,"A03W",2432,"FAGR",30.6,"L","OD","07/11/2018","2431 2432 & 2465 share base",NA,"A","28-33"
"546",85,"UMBS",131,"A03W",2433,"ACSA",15.2,"D","OS","07/11/2018","2433 - 2435 share base",NA,"A","13-18"
"547",86,"UMBS",129,"A03W",2434,"ACSA",10,"L","OS","07/11/2018","2433 - 2435 share base",NA,"A","8-13"
"548",87,"UMBS",129,"A03W",2435,"ACSA",15.2,"L","OS","07/11/2018","2433 - 2435 share base",NA,"A","13-18"
"549",88,"UMBS",129,"A03W",2436,"FAGR",19.3,"L","OS","07/11/2018","2436 & 2437 share base",NA,"A","18-23"
"550",89,"UMBS",129,"A03W",2437,"FAGR",8.1,"L","OS","07/11/2018","2436 & 2437 share base, taken a little under DBH",NA,"A","8-13"
"551",90,"UMBS",129,"A03W",2438,"FAGR",18.8,"L","OS","07/11/2018",NA,NA,"A","18-23"
"552",91,"UMBS",131,"A03W",2439,"ACSA",21.7,"L","OD","07/11/2018",NA,NA,"A","18-23"
"553",93,"UMBS",131,"A03W",2441,"ACSA",12.5,"L","OS","07/11/2018",NA,NA,"A","8-13"
"554",94,"UMBS",131,"A03W",2442,"ACSA",28.9,"L","OD","07/11/2018","2442 & 2443 share base",NA,"A","28-33"
"555",95,"UMBS",131,"A03W",2443,"ACSA",30.6,"L","OD","07/11/2018","2442 & 2443 share base",NA,"A","28-33"
"556",96,"UMBS",131,"A03W",2444,"ACSA",11.4,"L","OS","07/11/2018",NA,NA,"A","8-13"
"557",97,"UMBS",131,"A03W",2445,"ACSA",22.3,"L","OS","07/11/2018",NA,NA,"A","18-23"
"558",98,"UMBS",131,"A03W",2446,"ACRU",11,"L","OS","07/11/2018",NA,NA,"A","8-13"
"559",99,"UMBS",131,"A03W",2447,"ACRU",12.9,"L","OS","07/11/2018","2427 & 2448 share base",NA,"A","8-13"
"560",100,"UMBS",131,"A03W",2448,"ACRU",29.4,"L","OS","07/11/2018","2427 & 2448 share base",NA,"A","28-33"
"561",101,"UMBS",131,"A03W",2449,"FAGR",26.3,"L","OS","07/11/2018",NA,NA,"A","23-28"
"562",102,"UMBS",131,"A03W",2450,"ACSA",9.9,"L","OS","07/11/2018","Shares base with smaller tree",NA,"A","8-13"
"563",103,"UMBS",131,"A03W",2451,"FAGR",27.7,"L","OD","07/11/2018","2451 - 2453 share base",NA,"A","23-28"
"564",104,"UMBS",131,"A03W",2452,"FAGR",9.8,"L","OS","07/11/2018","2451 - 2453 share base",NA,"A","8-13"
"565",105,"UMBS",131,"A03W",2453,"FAGR",10.5,"L","OS","07/11/2018","2451 - 2453 share base",NA,"A","8-13"
"566",106,"UMBS",131,"A03W",2454,"FAGR",21.1,"L","OS","07/11/2018",NA,NA,"A","18-23"
"567",107,"UMBS",131,"A03W",2455,"ACSA",16.4,"L","OS","07/11/2018",NA,NA,"A","13-18"
"568",108,"UMBS",131,"A03W",2456,"FAGR",8.7,"L","UN","07/11/2018","2456 - 2457 share base",NA,"A","8-13"
"569",109,"UMBS",131,"A03W",2457,"FAGR",11.8,"L","UN","07/11/2018","2456 - 2457 share base",NA,"A","8-13"
"570",110,"UMBS",131,"A03W",2458,"ACSA",25.2,"L","OD","07/11/2018",NA,NA,"A","23-28"
"571",111,"UMBS",131,"A03W",2459,"ACSA",35.1,"L","OD","07/11/2018",NA,NA,"A","33-38"
"572",112,"UMBS",131,"A03W",2460,"FAGR",15.4,"L","OS","07/11/2018",NA,NA,"A","13-18"
"573",113,"UMBS",131,"A03W",2461,"FAGR",14.2,"L","OS","07/11/2018","2461 - 6462 share base",NA,"A","13-18"
"574",114,"UMBS",131,"A03W",2462,"FAGR",12.8,"L","OS","07/11/2018","2461 - 6462 share base",NA,"A","8-13"
"575",115,"UMBS",131,"A03W",2463,"ACSA",10.8,"L","OS","07/11/2018",NA,NA,"A","8-13"
"576",116,"UMBS",131,"A03W",2464,"POGR",48.3,"L","OD","07/11/2018",NA,NA,"A","48-53"
"577",117,"UMBS",131,"A03W",2465,"FAGR",9.6,"L","UN","07/11/2018","2431 2432 & 2465 share base",NA,"A","8-13"
"578",1,"UMBS",142,"A04E",2674,"ACRU",33.4,"L","OD","07/12/2018","joined at base","2674_75","A","33-38"
"579",2,"UMBS",142,"A04E",2675,"ACRU",42.6,"L","OD","07/12/2018",NA,NA,"A","38-43"
"580",3,"UMBS",142,"A04E",2676,"snag",20.1,"D","UN","07/12/2018",NA,NA,"A","18-23"
"581",4,"UMBS",142,"A04E",2677,"ACSA",11.4,"L","OS","07/12/2018","joined at base","2677-78","A","8-13"
"582",5,"UMBS",142,"A04E",2678,"ACSA",8.3,"D","OS","07/12/2018",NA,NA,"A","8-13"
"583",6,"UMBS",142,"A04E",2679,"FAGR",9,"L","UN","07/12/2018",NA,NA,"A","8-13"
"584",7,"UMBS",142,"A04E",2680,"POGR",49.6,"D","OD","07/12/2018",NA,NA,"A","48-53"
"585",8,"UMBS",142,"A04E",2681,"ACSA",10.4,"L","OS","07/12/2018",NA,NA,"A","8-13"
"586",9,"UMBS",142,"A04E",2682,"ACSA",18.5,"L","OS","07/12/2018",NA,NA,"A","18-23"
"587",10,"UMBS",142,"A04E",2683,"FAGR",14.6,"L","OS","07/12/2018",NA,NA,"A","13-18"
"588",12,"UMBS",142,"A04E",2685,"POGR",44.3,"L","OD","07/12/2018",NA,NA,"A","43-48"
"589",13,"UMBS",142,"A04E",2686,"ACPE",24.4,"L","OD","07/12/2018","Joined at base 2686-2687",NA,"A","23-28"
"590",14,"UMBS",142,"A04E",2687,"ACPE",26.2,"L","OD","07/12/2018",NA,NA,"A","23-28"
"591",15,"UMBS",142,"A04E",2688,"FAGR",12.8,"L","UN","07/12/2018","joined at base 2688-2689",NA,"A","8-13"
"592",16,"UMBS",142,"A04E",2689,"FAGR",16.9,"L","OS","07/12/2018",NA,NA,"A","13-18"
"593",17,"UMBS",142,"A04E",2690,"FAGR",10.6,"L","UN","07/12/2018",NA,NA,"A","8-13"
"594",18,"UMBS",142,"A04E",2691,"FAGR",9.6,"D","UN","07/12/2018","Joined at base 2691-2693",NA,"A","8-13"
"595",19,"UMBS",142,"A04E",2692,"FAGR",9.1,"L","OS","07/12/2018",NA,NA,"A","8-13"
"596",20,"UMBS",142,"A04E",2693,"FAGR",14.7,"L","OS","07/12/2018",NA,NA,"A","13-18"
"597",21,"UMBS",142,"A04E",2694,"ACSA",28.2,"L","OD","07/12/2018",NA,NA,"A","28-33"
"598",22,"UMBS",142,"A04E",2695,"POGR",41.4,"L","OD","07/12/2018",NA,NA,"A","38-43"
"599",23,"UMBS",142,"A04E",2696,"FAGR",22.6,"L","OD","07/12/2018",NA,NA,"A","18-23"
"600",24,"UMBS",142,"A04E",2697,"POGR",39.4,"L","OD","07/12/2018",NA,NA,"A","38-43"
"601",25,"UMBS",142,"A04E",2698,"ACSA",23.2,"L","OD","07/12/2018",NA,NA,"A","23-28"
"602",26,"UMBS",142,"A04E",2699,"FAGR",21,"D","OS","07/12/2018","Joined at base 2699-2700",NA,"A","18-23"
"603",27,"UMBS",142,"A04E",2700,"FAGR",22.5,"D","UN","07/12/2018",NA,NA,"A","18-23"
"604",28,"UMBS",142,"A04E",2701,"POGR",37.7,"L","OD","07/12/2018",NA,NA,"A","33-38"
"605",29,"UMBS",142,"A04E",2702,"POGR",35.3,"L","OD","07/12/2018","Joined at base 2702-2703",NA,"A","33-38"
"606",30,"UMBS",142,"A04E",2703,"POGR",36.4,"L","OD","07/12/2018",NA,NA,"A","33-38"
"607",31,"UMBS",142,"A04E",2704,"AMEL",10.1,"L","OS","07/12/2018",NA,NA,"A","8-13"
"608",32,"UMBS",142,"A04E",2705,"POGR",32.1,"L","OD","07/12/2018",NA,NA,"A","28-33"
"609",33,"UMBS",142,"A04E",2706,"ACSA",13.5,"L","OS","07/12/2018",NA,NA,"A","13-18"
"610",34,"UMBS",142,"A04E",2707,"POGR",42.1,"L","OD","07/12/2018",NA,NA,"A","38-43"
"611",35,"UMBS",142,"A04E",2708,"FAGR",13.2,"L","OS","07/12/2018",NA,NA,"A","13-18"
"612",36,"UMBS",142,"A04E",2709,"FAGR",8.1,"L","UN","07/12/2018","shares base with smaller trees",NA,"A","8-13"
"613",37,"UMBS",142,"A04E",2710,"POGR",35,"L","OD","07/12/2018",NA,NA,"A","33-38"
"614",38,"UMBS",142,"A04E",2711,"POGR",41.1,"L","OD","07/12/2018",NA,NA,"A","38-43"
"615",39,"UMBS",144,"A04E",2712,"POGR",37.2,"L","OD","07/12/2018",NA,NA,"A","33-38"
"616",40,"UMBS",142,"A04E",2713,"FAGR",16.5,"L","OS","07/12/2018",NA,NA,"A","13-18"
"617",41,"UMBS",142,"A04E",2714,"POGR",48.1,"L","OD","07/12/2018",NA,NA,"A","48-53"
"618",42,"UMBS",142,"A04E",2715,"ACSA",11,"L","OS","07/12/2018","Joined at base 2715-2716",NA,"A","8-13"
"619",43,"UMBS",142,"A04E",2716,"ACSA",16.5,"L","OS","07/12/2018",NA,NA,"A","13-18"
"620",44,"UMBS",142,"A04E",2717,"FAGR",12.5,"L","OS","07/12/2018","Above dbh",NA,"A","8-13"
"621",45,"UMBS",142,"A04E",2718,"FAGR",8.9,"L","UN","07/12/2018","Smaller trees at base",NA,"A","8-13"
"622",46,"UMBS",142,"A04E",2719,"POGR",39.8,"L","OD","07/12/2018",NA,NA,"A","38-43"
"623",47,"UMBS",142,"A04E",2720,"POGR",30.1,"L","OD","07/12/2018",NA,NA,"A","28-33"
"624",48,"UMBS",142,"A04E",2721,"POGR",36.2,"L","OD","07/12/2018",NA,NA,"A","33-38"
"625",49,"UMBS",142,"A04E",2722,"POGR",39.5,"L","OD","07/12/2018",NA,NA,"A","38-43"
"626",50,"UMBS",142,"A04E",2723,"FAGR",12,"L","OS","07/12/2018",NA,NA,"A","8-13"
"627",51,"UMBS",142,"A04E",2724,"FAGR",11,"L","OS","07/12/2018",NA,NA,"A","8-13"
"628",52,"UMBS",142,"A04E",2725,"POGR",50.3,"L","OD","07/12/2018",NA,NA,"A","48-53"
"629",53,"UMBS",142,"A04E",2726,"ACSA",22.5,"L","OS","07/12/2018","Joined at base 2727-2727",NA,"A","18-23"
"630",54,"UMBS",142,"A04E",2727,"ACSA",28.1,"L","OS","07/12/2018",NA,NA,"A","28-33"
"631",55,"UMBS",142,"A04E",2728,"ACSA",13.2,"L","OS","07/12/2018","Smaller tree at base",NA,"A","13-18"
"632",56,"UMBS",142,"A04E",2729,"POGR",34.6,"L","OD","07/12/2018",NA,NA,"A","33-38"
"633",57,"UMBS",142,"A04E",2730,"ACSA",12.4,"L","OS","07/12/2018","Smaller tree at base",NA,"A","8-13"
"634",58,"UMBS",142,"A04E",2731,"POGR",44.7,"L","OD","07/12/2018",NA,NA,"A","43-48"
"635",59,"UMBS",142,"A04E",2732,"POGR",50.2,"L","OD","07/12/2018",NA,NA,"A","48-53"
"636",61,"UMBS",143,"A04E",2734,"POGR",41,"L","OD","07/12/2018",NA,NA,"A","38-43"
"637",62,"UMBS",143,"A04E",2735,"ACSA",10.2,"L","OS","07/12/2018","Shares base with smaller tree",NA,"A","8-13"
"638",63,"UMBS",143,"A04E",2736,"POGR",35.9,"L","OD","07/12/2018",NA,NA,"A","33-38"
"639",64,"UMBS",143,"A04E",2737,"POGR",48.1,"L","OD","07/12/2018",NA,NA,"A","48-53"
"640",65,"UMBS",143,"A04E",2738,"FAGR",11.5,"L","OS","07/12/2018",NA,NA,"A","8-13"
"641",66,"UMBS",143,"A04E",2739,"FAGR",14.5,"L","OS","07/12/2018",NA,NA,"A","13-18"
"642",67,"UMBS",143,"A04E",2740,"POGR",46,"D","OD","07/12/2018",NA,NA,"A","43-48"
"643",68,"UMBS",143,"A04E",2741,"FAGR",19.3,"L","OS","07/12/2018","Shares base with smaller trees",NA,"A","18-23"
"644",69,"UMBS",143,"A04E",2742,"ACSA",13,"L","OS","07/12/2018",NA,NA,"A","13-18"
"645",70,"UMBS",143,"A04E",2743,"POGR",37.5,"L","OD","07/12/2018",NA,NA,"A","33-38"
"646",71,"UMBS",143,"A04E",2744,"POGR",43,"L","OD","07/12/2018",NA,NA,"A","43-48"
"647",72,"UMBS",143,"A04E",2745,"ACSA",23.5,"L","OS","07/12/2018",NA,NA,"A","23-28"
"648",73,"UMBS",145,"A04E",2746,"POGR",38.4,"L","OD","07/12/2018",NA,NA,"A","38-43"
"649",74,"UMBS",143,"A04E",2747,"FAGR",9.9,"D","UN","07/12/2018",NA,NA,"A","8-13"
"650",75,"UMBS",143,"A04E",2748,"POGR",44.3,"L","OD","07/12/2018",NA,NA,"A","43-48"
"651",76,"UMBS",143,"A04E",2749,"POGR",35.7,"L","OD","07/12/2018",NA,NA,"A","33-38"
"652",77,"UMBS",143,"A04E",2750,"ACSA",30.3,"L","OS","07/12/2018",NA,NA,"A","28-33"
"653",78,"UMBS",143,"A04E",2751,"POGR",33.1,"D","UN","07/12/2018",NA,NA,"A","33-38"
"654",79,"UMBS",143,"A04E",2752,"ACSA",13.9,"L","OS","07/12/2018","2752 - 2753 share base",NA,"A","13-18"
"655",80,"UMBS",143,"A04E",2753,"ACSA",24.2,"L","OS","07/12/2018","2752 - 2753 share base",NA,"A","23-28"
"656",81,"UMBS",143,"A04E",2754,"POGR",54.8,"D","UN","07/12/2018",NA,NA,"A","53-58"
"657",82,"UMBS",143,"A04E",2755,"POGR",47.2,"D","UN","07/12/2018",NA,NA,"A","43-48"
"658",83,"UMBS",143,"A04E",2756,"POGR",44.9,"D","OD","07/12/2018",NA,NA,"A","43-48"
"659",84,"UMBS",143,"A04E",2757,"ACSA",15,"L","OS","07/12/2018","2771 & 2757 share base",NA,"A","13-18"
"660",85,"UMBS",143,"A04E",2758,"POGR",34.2,"D","UN","07/12/2018",NA,NA,"A","33-38"
"661",86,"UMBS",143,"A04E",2759,"POGR",44.7,"D","UN","07/12/2018",NA,NA,"A","43-48"
"662",87,"UMBS",143,"A04E",2760,"FAGR",11.3,"L","OS","07/12/2018",NA,NA,"A","8-13"
"663",88,"UMBS",143,"A04E",2761,"POGR",42.7,"L","OD","07/12/2018",NA,NA,"A","38-43"
"664",89,"UMBS",143,"A04E",2762,"FAGR",15.4,"L","UN","07/12/2018",NA,NA,"A","13-18"
"665",90,"UMBS",143,"A04E",2763,"ACSA",18.8,"L","OS","07/12/2018",NA,NA,"A","18-23"
"666",91,"UMBS",145,"A04E",2764,"POGR",52,"D","OS","07/12/2018","Taken slightly above DBH",NA,"A","48-53"
"667",92,"UMBS",143,"A04E",2765,"POGR",39.1,"D","OD","07/12/2018",NA,NA,"A","38-43"
"668",93,"UMBS",143,"A04E",2766,"POGR",46.5,"D","OS","07/12/2018","2766 - 2767 share base",NA,"A","43-48"
"669",94,"UMBS",143,"A04E",2767,"POGR",31.9,"D","OS","07/12/2018","2766 - 2767 share base",NA,"A","28-33"
"670",95,"UMBS",143,"A04E",2768,"POGR",49,"D","OD","07/12/2018",NA,NA,"A","48-53"
"671",96,"UMBS",143,"A04E",2769,"ACSA",8.4,"L","OS","07/12/2018","2769 - 2770 share base",NA,"A","8-13"
"672",97,"UMBS",143,"A04E",2770,"ACSA",8.5,"L","UN","07/12/2018",NA,NA,"A","8-13"
"673",98,"UMBS",143,"A04E",2771,"ACSA",8.1,"L","UN","07/12/2018","2771 & 2757 share base",NA,"A","8-13"
"674",1,"UMBS",141,"A04W",2574,"FAGR",15.3,"L","OS","07/12/2018",NA,NA,"A","13-18"
"675",2,"UMBS",141,"A04W",2575,"ACSA",26.2,"L","OD","07/12/2018",NA,NA,"A","23-28"
"676",3,"UMBS",141,"A04W",2576,"ACSA",17,"L","OS","07/12/2018","Shares base with smaller tree",NA,"A","13-18"
"677",4,"UMBS",141,"A04W",2577,"POGR",40.6,"L","OD","07/12/2018",NA,NA,"A","38-43"
"678",5,"UMBS",141,"A04W",2578,"ACSA",12,"L","OS","07/12/2018",NA,NA,"A","8-13"
"679",6,"UMBS",141,"A04W",2579,"ACRU",37.8,"L","OD","07/12/2018","2579 - 2580 share base",NA,"A","33-38"
"680",7,"UMBS",141,"A04W",2580,"ACRU",30.3,"L","OD","07/12/2018","2579 - 2580 share base",NA,"A","28-33"
"681",8,"UMBS",141,"A04W",2581,"?",12.3,"D","UN","07/12/2018",NA,NA,"A","8-13"
"682",9,"UMBS",141,"A04W",2582,"ACSA",22.2,"L","OS","07/12/2018","Taken at DBH, large scarring area on tree",NA,"A","18-23"
"683",10,"UMBS",141,"A04W",2583,"ACRU",34.6,"L","OD","07/12/2018","2583 - 2585 share base",NA,"A","33-38"
"684",11,"UMBS",141,"A04W",2584,"ACRU",27.1,"L","OD","07/12/2018","2583 - 2585 share base",NA,"A","23-28"
"685",12,"UMBS",141,"A04W",2585,"ACRU",19.9,"D","OS","07/12/2018","2583 - 2585 share base",NA,"A","18-23"
"686",13,"UMBS",141,"A04W",2586,"ACSA",21.4,"L","OS","07/12/2018",NA,NA,"A","18-23"
"687",14,"UMBS",141,"A04W",2587,"ACSA",11.3,"D","OS","07/12/2018","2587 - 2588 share base",NA,"A","8-13"
"688",15,"UMBS",141,"A04W",2588,"ACSA",26,"L","OD","07/12/2018","2587 - 2588 share base",NA,"A","23-28"
"689",16,"UMBS",141,"A04W",2589,"?",18.4,"D","UN","07/12/2018",NA,NA,"A","18-23"
"690",17,"UMBS",141,"A04W",2590,"FAGR",25.1,"L","OS","07/12/2018",NA,NA,"A","23-28"
"691",18,"UMBS",141,"A04W",2591,"FAGR",11.4,"L","OS","07/12/2018","2591 - 2592 share base",NA,"A","8-13"
"692",19,"UMBS",141,"A04W",2592,"FAGR",12.3,"L","UN","07/12/2018","2591 - 2592 share base",NA,"A","8-13"
"693",20,"UMBS",141,"A04W",2593,"FAGR",9.2,"L","UN","07/12/2018",NA,NA,"A","8-13"
"694",21,"UMBS",141,"A04W",2594,"ACSA",18.5,"L","OS","07/12/2018","Shares base with smaller tree",NA,"A","18-23"
"695",22,"UMBS",141,"A04W",2595,"ACSA",19.3,"L","OS","07/12/2018",NA,NA,"A","18-23"
"696",23,"UMBS",141,"A04W",2596,"FAGR",12.4,"L","OS","07/12/2018","Shares base with smaller tree",NA,"A","8-13"
"697",24,"UMBS",141,"A04W",2597,"FAGR",8.2,"L","UN","07/12/2018",NA,NA,"A","8-13"
"698",25,"UMBS",141,"A04W",2598,"FAGR",13.4,"L","OS","07/12/2018",NA,NA,"A","13-18"
"699",26,"UMBS",141,"A04W",2599,"ACSA",19.2,"L","OS","07/12/2018",NA,NA,"A","18-23"
"700",27,"UMBS",141,"A04W",2600,"ACSA",15.2,"L","OS","07/12/2018",NA,NA,"A","13-18"
"701",28,"UMBS",141,"A04W",2601,"ACSA",15.9,"L","OS","07/12/2018",NA,NA,"A","13-18"
"702",29,"UMBS",141,"A04W",2602,"?",10.2,"D","UN","07/12/2018",NA,NA,"A","8-13"
"703",30,"UMBS",141,"A04W",2603,"ACSA",11.6,"L","OS","07/12/2018","2603 - 2604 share base",NA,"A","8-13"
"704",31,"UMBS",141,"A04W",2604,"ACSA",8,"D","UN","07/12/2018","2603 - 2604 share base",NA,"A","8-13"
"705",32,"UMBS",141,"A04W",2605,"ACSA",31.1,"L","OD","07/12/2018",NA,NA,"A","28-33"
"706",33,"UMBS",141,"A04W",2606,"ACSA",8.1,"D","UN","07/12/2018","2606 - 2608 share base",NA,"A","8-13"
"707",34,"UMBS",141,"A04W",2607,"ACSA",13.1,"L","OS","07/12/2018","2606 - 2608 share base",NA,"A","13-18"
"708",35,"UMBS",141,"A04W",2608,"ACSA",9.1,"D","UN","07/12/2018","2606 - 2608 share base",NA,"A","8-13"
"709",36,"UMBS",141,"A04W",2609,"FAGR",11.8,"D","OS","07/12/2018",NA,NA,"A","8-13"
"710",37,"UMBS",141,"A04W",2610,"ACSA",21.9,"L","OS","07/12/2018",NA,NA,"A","18-23"
"711",38,"UMBS",141,"A04W",2611,"ACSA",14,"L","OS","07/12/2018","2611 - 2612 share base",NA,"A","13-18"
"712",39,"UMBS",141,"A04W",2612,"ACSA",15.8,"L","OS","07/12/2018","2611 - 2612 share base",NA,"A","13-18"
"713",40,"UMBS",141,"A04W",2613,"ACSA",13.6,"L","OS","07/12/2018","2613 - 2614 share base",NA,"A","13-18"
"714",41,"UMBS",141,"A04W",2614,"ACSA",14.3,"L","OS","07/12/2018","2613 - 2614 share base",NA,"A","13-18"
"715",42,"UMBS",141,"A04W",2615,"POGR",51.9,"L","OD","07/12/2018","2615 - 2617 in a cluster",NA,"A","48-53"
"716",43,"UMBS",141,"A04W",2616,"POGR",49.5,"L","OD","07/12/2018","2615 - 2617 in a cluster",NA,"A","48-53"
"717",44,"UMBS",141,"A04W",2617,"POGR",35.3,"D","UN","07/12/2018","2615 - 2617 in a cluster",NA,"A","33-38"
"718",45,"UMBS",141,"A04W",2618,"POGR",54.8,"L","OD","07/12/2018",NA,NA,"A","53-58"
"719",46,"UMBS",141,"A04W",2619,"FAGR",11.9,"D","UN","07/12/2018",NA,NA,"A","8-13"
"720",47,"UMBS",141,"A04W",2620,"ACSA",9.2,"L","UN","07/12/2018",NA,NA,"A","8-13"
"721",48,"UMBS",141,"A04W",2621,"ACSA",8.7,"L","UN","07/12/2018",NA,NA,"A","8-13"
"722",49,"UMBS",141,"A04W",2622,"ACRU",24.7,"L","OS","07/12/2018","2622 - 2623 share base",NA,"A","23-28"
"723",50,"UMBS",141,"A04W",2623,"ACRU",19.9,"L","OS","07/12/2018","2622 - 2623 share base",NA,"A","18-23"
"724",51,"UMBS",141,"A04W",2624,"ACRU",31,"L","OD","07/12/2018","2624 - 2627 share base",NA,"A","28-33"
"725",52,"UMBS",141,"A04W",2625,"ACRU",32.5,"L","OD","07/12/2018","2624 - 2627 share base",NA,"A","28-33"
"726",53,"UMBS",141,"A04W",2626,"ACRU",34.9,"L","OD","07/12/2018","2624 - 2627 share base",NA,"A","33-38"
"727",54,"UMBS",141,"A04W",2627,"ACRU",30.1,"L","OD","07/12/2018","2624 - 2627 share base",NA,"A","28-33"
"728",55,"UMBS",141,"A04W",2628,"FAGR",12.2,"D","UN","07/12/2018",NA,NA,"A","8-13"
"729",56,"UMBS",141,"A04W",2629,"ACSA",10.7,"L","OS","07/12/2018",NA,NA,"A","8-13"
"730",57,"UMBS",141,"A04W",2630,"ACSA",14.1,"L","OS","07/12/2018","Shares base with smaller tree",NA,"A","13-18"
"731",58,"UMBS",141,"A04W",2631,"ACSA",22.6,"L","OD","07/12/2018",NA,NA,"A","18-23"
"732",59,"UMBS",141,"A04W",2632,"ACSA",22.6,"L","OD","07/12/2018",NA,NA,"A","18-23"
"733",60,"UMBS",141,"A04W",2633,"FAGR",15.8,"L","OS","07/12/2018","2633 - 2635 share base",NA,"A","13-18"
"734",61,"UMBS",141,"A04W",2634,"FAGR",25,"L","OD","07/12/2018","2633 - 2635 share base",NA,"A","23-28"
"735",62,"UMBS",141,"A04W",2635,"FAGR",21.9,"L","OD","07/12/2018","2633 - 2635 share base",NA,"A","18-23"
"736",63,"UMBS",141,"A04W",2636,"FAGR",21.7,"L","OS","07/12/2018",NA,NA,"A","18-23"
"737",64,"UMBS",141,"A04W",2637,"ACSA",20.1,"L","OS","07/12/2018",NA,NA,"A","18-23"
"738",65,"UMBS",141,"A04W",2638,"POGR",34.1,"L","OD","07/12/2018",NA,NA,"A","33-38"
"739",66,"UMBS",141,"A04W",2639,"ACSA",21.5,"L","OD","07/12/2018",NA,NA,"A","18-23"
"740",67,"UMBS",141,"A04W",2640,"POGR",30.3,"L","OD","07/12/2018",NA,NA,"A","28-33"
"741",68,"UMBS",141,"A04W",2641,"FAGR",11.8,"D","UN","07/12/2018",NA,NA,"A","8-13"
"742",69,"UMBS",141,"A04W",2642,"ACSA",25.5,"L","OD","07/12/2018",NA,NA,"A","23-28"
