"","X1","Site","Subplot","SubplotID","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","X","group","dbh.class"
"2433",55,"UMBS",411,"D01W",636,"QURU",23.6,"L","OD","06/26/2018",NA,NA,"D","23-28"
"2434",56,"UMBS",411,"D01W",637,"QURU",22.1,"L","OD","06/26/2018",NA,NA,"D","18-23"
"2435",58,"UMBS",411,"D01W",639,"QURU",32.6,"L","OD","06/26/2018",NA,NA,"D","28-33"
"2436",59,"UMBS",411,"D01W",640,"unknown",8,"D","UN","06/26/2018","species unknown, may be QURU/limb",NA,"D","8-13"
"2437",1,"UMBS",421,"D02E",290,"PIST",28.3,"L","OD","6/22/2018","Has some big sap holes around DBH level",NA,"D","28-33"
"2438",2,"UMBS",421,"D02E",291,"ACRU",8.3,"L","OS",NA,NA,NA,"D","8-13"
"2439",3,"UMBS",421,"D02E",292,"QURU",29.3,"L","OD",NA,NA,NA,"D","28-33"
"2440",4,"UMBS",421,"D02E",293,"PIST",8.4,"L","UN",NA,NA,NA,"D","8-13"
"2441",5,"UMBS",421,"D02E",294,"ACRU",9.5,"L","OS",NA,NA,NA,"D","8-13"
"2442",6,"UMBS",421,"D02E",295,"QURU",28.1,"L","OD",NA,NA,NA,"D","28-33"
"2443",7,"UMBS",421,"D02E",296,"ACRU",12.7,"L","OS",NA,NA,NA,"D","8-13"
"2444",8,"UMBS",421,"D02E",297,"ACRU",15.5,"L","OS",NA,"in a cluster",NA,"D","13-18"
"2445",10,"UMBS",421,"D02E",299,"ACRU",8,"L","UN",NA,"in a cluster",NA,"D","8-13"
"2446",11,"UMBS",421,"D02E",300,"ACRU",13.8,"L","OS",NA,NA,NA,"D","13-18"
"2447",12,"UMBS",421,"D02E",301,"QURU",19.5,"L","OS",NA,NA,NA,"D","18-23"
"2448",13,"UMBS",421,"D02E",302,"QURU",13.1,"M","UN",NA,NA,NA,"D","13-18"
"2449",14,"UMBS",421,"D02E",303,"QURU",35.1,"L","OD",NA,NA,NA,"D","33-38"
"2450",15,"UMBS",421,"D02E",304,"ACRU",9.6,"L","OS",NA,NA,NA,"D","8-13"
"2451",16,"UMBS",421,"D02E",305,"QURU",32.1,"L","OD",NA,"cluster",NA,"D","28-33"
"2452",17,"UMBS",421,"D02E",306,"QURU",23.7,"L","OD",NA,"cluster",NA,"D","23-28"
"2453",18,"UMBS",421,"D02E",307,"FAGR",9,"L","OS",NA,NA,NA,"D","8-13"
"2454",19,"UMBS",421,"D02E",308,"QURU",21.4,"L","OD",NA,NA,NA,"D","18-23"
"2455",20,"UMBS",421,"D02E",309,"PIST",8.9,"L","OS",NA,NA,NA,"D","8-13"
"2456",21,"UMBS",421,"D02E",310,"ACRU",14.2,"D","UN",NA,"dbh slightly higher",NA,"D","13-18"
"2457",22,"UMBS",421,"D02E",311,"ACRU",11.3,"L","OS",NA,NA,NA,"D","8-13"
"2458",23,"UMBS",421,"D02E",312,"PIST",8.4,"L","OS",NA,NA,NA,"D","8-13"
"2459",24,"UMBS",421,"D02E",313,"QURU",8.4,"D","OS",NA,"Cluster",NA,"D","8-13"
"2460",25,"UMBS",421,"D02E",314,"QURU",16.2,"L","OD",NA,"Cluster",NA,"D","13-18"
