Site,Subplot,Tag,Species,DBH_cm,Health_status,Canopy_status,Date,Notes
UMBS,242,2325,POGR,35.7,L,OD,07/06/2018,
UMBS,242,2326,QURU,10.5,L,OS,07/06/2018,2326 & 2327 share base
UMBS,242,2327,QURU,9.7,L,OS,07/06/2018,2326 & 2327 share base
UMBS,242,2328,POGR,52.4,L,OD,07/06/2018,
UMBS,242,2329,ACRU,28.3,L,OD,07/06/2018,2329 - 2332 share base
UMBS,242,2330,ACRU,16.6,L,OS,07/06/2018,2329 - 2332 share base
UMBS,242,2331,ACRU,35.2,L,OD,07/06/2018,2329 - 2332 share base
UMBS,242,2332,ACRU,16.1,L,OS,07/06/2018,2329 - 2332 share base
UMBS,242,2333,ACRU,16.2,D,UN,07/06/2018,
UMBS,242,2334,ACPE,1.1,L,SA,07/06/2018,In NW  veg plot
UMBS,244,2335,POGR,40,L,OD,07/06/2018,In a new plot
UMBS,242,2336,ACRU,8.4,L,UN,07/06/2018,Shares base with smaller tree
UMBS,242,2337,BEPA,32.9,L,OD,07/06/2018,2337 - 2338 share base
UMBS,242,2338,BEPA,26.4,L,OD,07/06/2018,2337 - 2338 share base
UMBS,242,2339,ACRU,13.6,L,OS,07/06/2018,2339 - 2341 share base
UMBS,242,2340,ACRU,12,L,OS,07/06/2018,2339 - 2341 share base
UMBS,242,2341,ACRU,21.5,L,OS,07/06/2018,2339 - 2341 share base
UMBS,242,2342,FAGR,15.2,L,OS,07/06/2018,
UMBS,242,2343,FAGR ,10.5,L,UN,07/06/2018,
UMBS,243,2344,POGR,31.4,L,OD,07/06/2018,In a new plot
UMBS,242,2345,ACRU,16.2,L,OS,07/06/2018,2345 - 2347 share base
UMBS,242,2346,ACRU,26.5,L,OD,07/06/2018,2345 - 2347 share base
UMBS,242,2347,ACRU,28.6,L,OS,07/06/2018,2345 - 2347 share base
UMBS,242,2348,QURU,9.1,L,OS,07/06/2018,
UMBS,242,2349,,,,,07/06/2018,
UMBS,242,2350,,,,,07/06/2018,
UMBS,242,2351,,,,,07/06/2018,
UMBS,242,2352,,,,,07/06/2018,
UMBS,242,2353,,,,,07/06/2018,
UMBS,242,2354,,,,,07/06/2018,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
