Site,Subplot,Tag,Species,DBH_cm,Health_status,Canopy_status,Date,Notes
UMBS,131,2419,FAGR,1.8,L,SA,07/11/2018,In SW veg plot
UMBS,131,2420,ACPE,5.1,L,UN,07/11/2018,In SW veg plot
UMBS,131,2421,FAGR,9.6,L,UN,07/11/2018,
UMBS,131,2422,POGR,26.8,L,OD,07/11/2018,
UMBS,131,2423,FAGR,8.8,D,UN,07/11/2018,
UMBS,131,2424,ACPE,12.9,L,OS,07/11/2018,Shares base with smaller trees
UMBS,131,2425,QURU,15.7,L,OS,07/11/2018,
UMBS,131,2426,FAGR,12.4,L,UN,07/11/2018,2426 & 2427 share base
UMBS,131,2427,FAGR,21.7,D,UN,07/11/2018,2426 & 2427 share base
UMBS,131,2428,ACSA,10.6,L,OS,07/11/2018,2428 & 2429 share base
UMBS,131,2429,ACSA,22.9,L,OD,07/11/2018,2428 & 2429 share base
UMBS,131,2430,POGR,38.2,L,OD,07/11/2018,
UMBS,131,2431,FAGR,11.8,L,UN,07/11/2018,2431 2432 & 2465 share base
UMBS,131,2432,FAGR,30.6,L,OD,07/11/2018,2431 2432 & 2465 share base
UMBS,131,2433,ACSA,15.2,D,OS,07/11/2018,2433 - 2435 share base
UMBS,129,2434,ACSA,10,L,OS,07/11/2018,2433 - 2435 share base
UMBS,129,2435,ACSA,15.2,L,OS,07/11/2018,2433 - 2435 share base
UMBS,129,2436,FAGR,19.3,L,OS,07/11/2018,2436 & 2437 share base
UMBS,129,2437,FAGR,8.1,L,OS,07/11/2018,"2436 & 2437 share base, taken a little under DBH"
UMBS,129,2438,FAGR,18.8,L,OS,07/11/2018,
UMBS,131,2439,ACSA,21.7,L,OD,07/11/2018,
UMBS,131,2440,ACSA,7.9,L,UN,07/11/2018,redact
UMBS,131,2441,ACSA,12.5,L,OS,07/11/2018,
UMBS,131,2442,ACSA,28.9,L,OD,07/11/2018,2442 & 2443 share base
UMBS,131,2443,ACSA,30.6,L,OD,07/11/2018,2442 & 2443 share base
UMBS,131,2444,ACSA,11.4,L,OS,07/11/2018,
UMBS,131,2445,ACSA,22.3,L,OS,07/11/2018,
UMBS,131,2446,ACRU,11,L,OS,07/11/2018,
UMBS,131,2447,ACRU,12.9,L,OS,07/11/2018,2427 & 2448 share base
UMBS,131,2448,ACRU,29.4,L,OS,07/11/2018,2427 & 2448 share base
UMBS,131,2449,FAGR,26.3,L,OS,07/11/2018,
UMBS,131,2450,ACSA,9.9,L,OS,07/11/2018,Shares base with smaller tree
UMBS,131,2451,FAGR,27.7,L,OD,07/11/2018,2451 - 2453 share base
UMBS,131,2452,FAGR,9.8,L,OS,07/11/2018,2451 - 2453 share base
UMBS,131,2453,FAGR,10.5,L,OS,07/11/2018,2451 - 2453 share base
UMBS,131,2454,FAGR,21.1,L,OS,07/11/2018,
UMBS,131,2455,ACSA,16.4,L,OS,07/11/2018,
UMBS,131,2456,FAGR,8.7,L,UN,07/11/2018,2456 - 2457 share base
UMBS,131,2457,FAGR,11.8,L,UN,07/11/2018,2456 - 2457 share base
UMBS,131,2458,ACSA,25.2,L,OD,07/11/2018,
UMBS,131,2459,ACSA,35.1,L,OD,07/11/2018,
UMBS,131,2460,FAGR,15.4,L,OS,07/11/2018,
UMBS,131,2461,FAGR,14.2,L,OS,07/11/2018,2461 - 6462 share base
UMBS,131,2462,FAGR,12.8,L,OS,07/11/2018,2461 - 6462 share base
UMBS,131,2463,ACSA,10.8,L,OS,07/11/2018,
UMBS,131,2464,POGR,48.3,L,OD,07/11/2018,
UMBS,131,2465,FAGR,9.6,L,UN,07/11/2018,2431 2432 & 2465 share base
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
