"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","fate","plot.side"
"43","QURU",313,"796","UMBS",15.1,"L","OS","06/26/2018","in new plot","C01E","C","C01",45.5625267,-84.7077158,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",2.49260060264842,"Quercus","live","E"
"44","QURU",312,"810","UMBS",15.2,"L","OS","06/26/2018","","C01E","C","C01",45.5626102,-84.7076051,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",2.51665485058685,"Quercus","live","E"
"45","POGR",312,"728","UMBS",20.3,"L","OD","06/26/2018","","C01E","C","C01",45.5625948,-84.7073785,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",2.54634503094981,"Populus","live","E"
"46","BEPA",312,"816","UMBS",15,"L","OS","06/26/2018","816-817 share base","C01E","C","C01",45.5626732,-84.7074239,"FL",0.0132,1.9505,NA,"Upper Great Lakes","Perala and Alban, 1994",2.59740655368014,"Betula","live","E"
"47","POGR",312,"727","UMBS",20.5,"L","OD","06/26/2018","","C01E","C","C01",45.5625885,-84.7074137,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",2.60377706980243,"Populus","live","E"
"48","POGR",312,"733","UMBS",21.1,"L","OD","06/26/2018","","C01E","C","C01",45.5626049,-84.7073229,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",2.78039404683785,"Populus","live","E"
"49","QURU",312,"760","UMBS",16.6,"L","OD","06/26/2018","","C01E","C","C01",45.562409,-84.707366,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",2.86087251556522,"Quercus","live","E"
"50","QURU",312,"745","UMBS",16.6,"L","OS","06/26/2018","","C01E","C","C01",45.5625398,-84.70732,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",2.86087251556522,"Quercus","live","E"
"51","POGR",312,"716","UMBS",21.7,"L","OD","06/26/2018","","C01E","C","C01",45.5626524,-84.707472,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",2.96353225646681,"Populus","live","E"
"52","QURU",312,"780","UMBS",17.1,"L","OS","06/26/2018","","C01E","C","C01",45.5624239,-84.7075684,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",2.98710561351527,"Quercus","live","E"
"53","POGR",312,"730","UMBS",22,"L","OD","06/26/2018","","C01E","C","C01",45.5626353,-84.7073569,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",3.05756263915226,"Populus","live","E"
"54","BEPA",312,"817","UMBS",16.6,"L","OS","06/26/2018","816-817 share base","C01E","C","C01",45.5626696,-84.7075143,"FL",0.0132,1.9505,NA,"Upper Great Lakes","Perala and Alban, 1994",3.16515335530355,"Betula","live","E"
"55","PIRE",312,"799","UMBS",15,"L","OS","06/26/2018","","C01E","C","C01",45.5625514,-84.7076317,"FL",7e-04,3.122,0.553,"","",3.28741816664977,"Pinus","live","E"
"56","QURU",312,"749","UMBS",18.5,"L","OD","06/26/2018","749-750 share base","C01E","C","C01",45.5624811,-84.7074383,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",3.34947007617695,"Quercus","live","E"
"57","PIRE",312,"772","UMBS",15.4,"L","OS","06/26/2018","","C01E","C","C01",45.5623723,-84.7075572,"FL",7e-04,3.122,0.553,"","",3.56892753925381,"Pinus","live","E"
"58","BEPA",312,"765","UMBS",17.9,"L","OS","06/26/2018","765-766 share base","C01E","C","C01",45.5624519,-84.7074782,"FL",0.0132,1.9505,NA,"Upper Great Lakes","Perala and Alban, 1994",3.6666019758246,"Betula","live","E"
"59","QURU",312,"751","UMBS",19.9,"L","OD","06/26/2018","","C01E","C","C01",45.5624971,-84.7073594,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",3.72453846295874,"Quercus","live","E"
"60","POGR",312,"764","UMBS",24.2,"L","OD","06/26/2018","","C01E","C","C01",45.5624571,-84.707481,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",3.79790171694315,"Populus","live","E"
"61","QURU",312,"738","UMBS",20.5,"L","OS","06/26/2018","NE veg plot","C01E","C","C01",45.5625665,-84.7073909,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",3.88904622528725,"Quercus","live","E"
"62","POGR",312,"740","UMBS",24.5,"L","OD","06/26/2018","","C01E","C","C01",45.562571,-84.7072974,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",3.90585940216019,"Populus","live","E"
"63","QURU",312,"789","UMBS",20.6,"L","OS","06/26/2018","","C01E","C","C01",45.5625315,-84.7075246,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",3.91667957322555,"Quercus","live","E"
"64","QURU",312,"814","UMBS",21.1,"L","OS","06/26/2018","813-814 share base","C01E","C","C01",45.5626023,-84.7074824,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.05575964668878,"Quercus","live","E"
"65","POGR",313,"719","UMBS",25.1,"L","OD","06/26/2018","in new plot","C01E","C","C01",45.5626755,-84.7074113,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",4.12687657656891,"Populus","live","E"
"66","POGR",312,"723","UMBS",25.1,"L","OD","06/26/2018","","C01E","C","C01",45.5626448,-84.7073994,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",4.12687657656891,"Populus","live","E"
"67","POGR",312,"725","UMBS",25.2,"L","OD","06/26/2018","","C01E","C","C01",45.5626376,-84.7073675,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",4.16437657088798,"Populus","live","E"
