"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","sla","leaf.area"
"26","ACRU",141,"2585","UMBS",19.9,"D","OS","07/12/2018","2583 - 2585 share base","A04W","A","A04",45.5637762,-84.7266202,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.73200802958362,"Acer",19,70.9081525620888
"27","ACRU",112,"2815","UMBS",28.6,"L","OD","7/12/2018","2815 - 2816 share base","A01E","A","A01",45.5635329,-84.7282573,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",6.52397852537995,"Acer",19,123.955591982219
"28","ACRU",212,"1731","UMBS",19.7,"L","OS","07/04/2018","1730-1731 share base","B01E","B","B01",45.5567847,-84.72675,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.67440328007903,"Acer",19,69.8136623215016
"29","ACRU",111,"2984","UMBS",30.5,"L","OS","07/13/2018","2981-2984 share base","A01W","A","A01",45.5637686,-84.7289617,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",7.20328477281265,"Acer",19,136.86241068344
"30","ACRU",212,"1734","UMBS",10.2,"D","UN","07/04/2018","","B01E","B","B01",45.5567851,-84.7267092,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.33337742001258,"Acer",19,25.334170980239
"31","ACRU",231,"1961","UMBS",15.5,"L","OS","07/05/2018","","B03W","B","B03",45.5564038,-84.7259283,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.53991771417717,"Acer",19,48.2584365693662
"32","ACRU",141,"2580","UMBS",30.3,"L","OD","07/12/2018","2579 - 2580 share base","A04W","A","A04",45.5638086,-84.7265865,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",7.13067232306849,"Acer",19,135.482774138301
"33","ACRU",141,"2579","UMBS",37.8,"L","OD","07/12/2018","2579 - 2580 share base","A04W","A","A04",45.5638117,-84.7265916,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",10.0241187662304,"Acer",19,190.458256558377
"34","ACRU",141,"2584","UMBS",27.1,"L","OD","07/12/2018","2583 - 2585 share base","A04W","A","A04",45.5637653,-84.726585,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",6.00456485191008,"Acer",19,114.086732186292
"35","ACRU",212,"1670","UMBS",9.7,"L","OS","07/04/2018","1670-1672 share base","B01E","B","B01",45.5567044,-84.7263994,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.23406291816607,"Acer",19,23.4471954451554
