"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","sla","leaf.area","fate","plot.side"
"33","QURU",412,"680","UMBS",21.5,"L","OS","06/26/2018","","D01E","D","D01",45.5607745,-84.7067494,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.16811023711399,"Quercus",14.2,59.1871653670186,"live","E"
"34","QURU",412,"664","UMBS",21.7,"L","OD","06/26/2018","","D01E","D","D01",45.5608651,-84.7066142,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.22464431311703,"Quercus",14.2,59.9899492462618,"live","E"
"35","QURU",412,"657","UMBS",22.4,"L","OD","06/26/2018","","D01E","D","D01",45.5609094,-84.7065355,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.42437677648507,"Quercus",14.2,62.826150226088,"live","E"
"36","QURU",412,"690","UMBS",22.7,"L","OD","06/26/2018","690-691 share base","D01E","D","D01",45.5608389,-84.7068519,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.51085492238657,"Quercus",14.2,64.0541398978893,"live","E"
"37","QURU",412,"704","UMBS",24.8,"L","OD","06/26/2018","704-705 share base","D01E","D","D01",45.560986,-84.7069006,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.13060326245538,"Quercus",14.2,72.8545663268663,"live","E"
"38","QURU",412,"669","UMBS",26,"L","UN","06/26/2018","712 + 669 share base","D01E","D","D01",45.5610383,-84.7067966,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.49575620189649,"Quercus",14.2,78.0397380669301,"live","E"
"39","QURU",412,"707","UMBS",26.2,"L","OD","06/26/2018","","D01E","D","D01",45.5609921,-84.7068456,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.55737388917147,"Quercus",14.2,78.9147092262348,"live","E"
"40","QURU",412,"653","UMBS",26.4,"L","OD","06/26/2018","653-654 share base","D01E","D","D01",45.5609415,-84.7066034,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.61920596578813,"Quercus",14.2,79.7927247141914,"live","E"
"41","QURU",412,"705","UMBS",26.7,"L","OD","06/26/2018","704-705 share base","D01E","D","D01",45.5609947,-84.7068982,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.71235412387205,"Quercus",14.2,81.1154285589831,"live","E"
"42","QURU",412,"693","UMBS",27.7,"L","OD","06/26/2018","","D01E","D","D01",45.5608299,-84.7069133,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.02627992874771,"Quercus",14.2,85.5731749882174,"live","E"
"43","QURU",412,"697","UMBS",28.4,"L","OD","06/26/2018","697-698 share base","D01E","D","D01",45.5608505,-84.7068341,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.24912802580567,"Quercus",14.2,88.7376179664405,"live","E"
"44","QURU",412,"665","UMBS",29.2,"L","OD","06/26/2018","","D01E","D","D01",45.5608587,-84.7065326,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.50688732190444,"Quercus",14.2,92.397799971043,"live","E"
"45","QURU",412,"709","UMBS",29.2,"L","OD","06/26/2018","NW veg plot","D01E","D","D01",45.560979,-84.7068135,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.50688732190444,"Quercus",14.2,92.397799971043,"live","E"
"46","QURU",412,"654","UMBS",29.5,"L","OD","06/26/2018","653-654 share base","D01E","D","D01",45.5608338,-84.7066235,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.60438330091667,"Quercus",14.2,93.7822428730167,"live","E"
"47","POGR",412,"677","UMBS",30.3,"L","OD","06/26/2018","","D01E","D","D01",45.560798,-84.7067133,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",6.3335287165275,"Populus",15.89,100.639771305622,"live","E"
"48","QURU",412,"702","UMBS",30.9,"L","OD","06/26/2018","702-703 share base, labeled as outside plot bc tripod not at specific center ","D01E","D","D01",45.5609527,-84.7069479,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",7.06530354272358,"Quercus",14.2,100.327310306675,"live","E"
"49","QURU",412,"695","UMBS",32.9,"L","OD","06/26/2018","","D01E","D","D01",45.5608446,-84.7069235,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",7.7403619415544,"Quercus",14.2,109.913139570072,"live","E"
"50","QURU",412,"685","UMBS",33,"L","OD","06/26/2018","","D01E","D","D01",45.5608457,-84.7067475,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",7.77461729121913,"Quercus",14.2,110.399565535312,"live","E"
"51","POGR",412,"676","UMBS",33.4,"L","OD","06/26/2018","","D01E","D","D01",45.560778,-84.7067117,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",7.90472883016557,"Populus",15.89,125.606141111331,"live","E"
"52","QURU",412,"651","UMBS",33.9,"L","OD","06/26/2018","","D01E","D","D01",45.56099,-84.706556,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.08503302590913,"Quercus",14.2,114.80746896791,"live","E"
"53","QURU",412,"696","UMBS",34.1,"L","OD","06/26/2018","","D01E","D","D01",45.5608702,-84.7068544,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.15452857302745,"Quercus",14.2,115.79430573699,"live","E"
"54","QURU",412,"641","UMBS",34.3,"L","OD","06/26/2018","","D01E","D","D01",45.5609083,-84.7067225,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.2242098259725,"Quercus",14.2,116.783779528809,"live","E"
"55","QURU",412,"673","UMBS",34.8,"L","OD","06/26/2018","","D01E","D","D01",45.560818,-84.7066807,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.39922155634502,"Quercus",14.2,119.268946100099,"live","E"
"56","QURU",412,"698","UMBS",35.1,"L","OD","06/26/2018","697-698 share base","D01E","D","D01",45.5608676,-84.7068405,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.5047801563686,"Quercus",14.2,120.767878220434,"live","E"
"57","QURU",412,"645","UMBS",35.9,"L","OD","06/26/2018","","D01E","D","D01",45.5610278,-84.7066659,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.78827544086628,"Quercus",14.2,124.793511260301,"live","E"
"58","QURU",412,"661","UMBS",36.3,"L","OD","06/26/2018","","D01E","D","D01",45.560906,-84.7065926,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.9311087335598,"Quercus",14.2,126.821744016549,"live","E"
"59","QURU",412,"688","UMBS",42.1,"L","OD","06/26/2018","","D01E","D","D01",45.5607853,-84.7067959,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",11.0808145573943,"Quercus",14.2,157.347566714999,"live","E"
"60","QURU",413,"703","UMBS",47.2,"L","OD","06/26/2018","702-703 share base, 703 in new plot, labeled as outside plot bc tripod not at specific center","D01E","D","D01",45.5609477,-84.7069534,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",13.0866005198348,"Quercus",14.2,185.829727381654,"live","E"
"61","QURU",411,"597","UMBS",45.7,"L","OD","06/26/2018","","D01W","D","D01",45.5609086,-84.7074867,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",12.4858843643299,"Quercus",14.2,177.299557973485,"live","W"
"62","QURU",411,"583","UMBS",43.2,"L","OD","06/26/2018","","D01W","D","D01",45.5609435,-84.7072279,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",11.5045620017963,"Quercus",14.2,163.364780425507,"live","W"
"63","QURU",411,"593","UMBS",41.2,"L","OD","06/26/2018","593-594 share base","D01W","D","D01",45.5608844,-84.7074157,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",10.7378340231857,"Quercus",14.2,152.477243129236,"live","W"
"64","QURU",411,"609","UMBS",40.7,"L","OD","06/26/2018","","D01W","D","D01",45.5607518,-84.7073041,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",10.5487524995092,"Quercus",14.2,149.792285493031,"live","W"
