,plot,subplot,nsp,filename,mean.height,height.2,mean.height.var,mean.height.rms,transect.length,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,plot_1,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl
32,a,1,w,forteA01W2.CSV,11.01312799,6.582342647,43.32723473,12.78800383,40,10.2,7.508541039,8.314954091,29.413,17.456475,7.30817684,3.522269569,0,0,0.7275,1709.944773,27.7665058,30.64255095,9.613484763,forteA01W2.CSV,7.64209021,7.076579127,1.748925448,98.25107455,29.413,337.475,9.675,0.920204423,22.95106246
33,a,2,e,forteA02E.CSV,6.828191585,4.877347832,23.78852187,8.355717153,40,5.125,6.085034888,6.501232625,29.856,16.888,6.093171938,3.137550661,0,0,0.784677419,2291.719819,32.21902871,35.40697682,10.20176009,forteA02E.CSV,4.465493966,5.776467016,5.785401951,94.21459805,29.856,371.75,7.975,0.806949253,17.0344086
34,a,2,e,forteA02E2.CSV,6.230507973,3.491283346,12.1890594,7.099213762,20,5.2,7.765407665,5.197165219,29.149,12.61,7.346226824,4.156241363,0,0,0.81,775.5833159,18.00225701,21.2485778,8.488437789,forteA02E2.CSV,4.077596901,4.155691065,1.287899115,98.71210089,29.149,372.85,7.55,0.775025436,13.10080645
35,a,2,e,forteA02E2part2.CSV,7.018725968,4.936149526,24.36557214,8.509395263,20,4.55,7.920008447,3.979883627,29.586,12.89325,7.120254221,4.258239311,0,0,0.811290323,1467.17239,22.82026025,30.76374672,9.914252186,forteA02E2part2.CSV,5.31615765,6.122591847,2.23880597,97.76119403,29.586,308.35,8.4,0.815780028,15.05940594
36,a,2,w,forteA02W.CSV,7.752817571,5.782357234,33.43565518,9.584886682,20,5.55,6.482490198,7.930454291,33.624,24.85705,4.937617066,2.791684102,0,0,0.81,3849.142033,47.73084523,39.63468741,8.819132016,forteA02W.CSV,6.998562043,8.71294314,12.48781846,87.51218154,33.624,359.3,6.85,0.847392045,18.60042061
37,a,2,w,forteA02W2.CSV,7.81753255,5.989591165,35.87520233,9.796122279,35,6.857142857,7.758667467,6.078616605,32.851,12.04328571,5.752857409,3.052939614,5,0.142857143,0.853781513,1579.791555,18.20437527,35.3325951,10.17367222,forteA02W2.CSV,6.550861548,6.593560508,6.000238578,93.99976142,32.851,209.7,6.028571429,0.916883162,18.64285714
38,a,2,w,forteA02Wpart2.CSV,10.21183986,5.711056957,32.61617156,11.63043577,20,9.3,5.787268281,7.685255877,32.281,15.90775,6.927763133,2.931417168,0,0,0.775757576,962.8012555,21.93284064,21.94884409,7.546311437,forteA02Wpart2.CSV,7.435214417,6.354085889,3.974358974,96.02564103,32.281,312.15,6.6,0.835201474,17.08580343
39,a,3,e,forteA03E.CSV,10.68954702,5.350572159,28.62862243,11.92389711,40,9.825,7.608373583,7.662387323,30.656,17.79345,7.361975804,3.339935593,0,0,0.74921875,1819.423751,29.56567574,30.74564308,8.574543136,forteA03E.CSV,7.082208689,6.365641211,1.152757179,98.84724282,30.656,370.975,6.8,0.893441777,21.48030019
40,a,3,e,forteA03E2.CSV,11.61824258,4.507529844,20.3178253,12.44160119,40,11.425,5.799001701,6.279341383,24.954,17.6814,7.201188479,3.061627382,0,0,0.672115385,517.4341877,18.39349649,13.38332823,5.375892397,forteA03E2.CSV,8.253644325,5.807635376,2.224919094,97.77508091,24.954,370.925,5.85,0.938606757,21.23853881
41,a,3,w,forteA03W.CSV,9.905808069,5.545163753,30.74884104,11.31835472,40,10.375,6.49919294,7.665063935,28.364,15.762275,7.350370006,3.073393272,0,0,0.731896552,1383.638643,23.68233752,28.6842384,8.500702194,forteA03W.CSV,7.079777308,6.624115258,1.329336635,98.67066337,28.489,383.775,4.9,0.919157491,21.16896476
