"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","X","SubplotID"
"48","UMBS",142,2721,"POGR ",36.2,"L","OD","07/12/2018","","","A04E"
"49","UMBS",142,2722,"POGR ",39.5,"L","OD","07/12/2018","","","A04E"
"50","UMBS",142,2723,"FAGR ",12,"L","OS","07/12/2018","","","A04E"
"51","UMBS",142,2724,"FAGR",11,"L","OS","07/12/2018","","","A04E"
"52","UMBS",142,2725,"POGR ",50.3,"L","OD","07/12/2018","","","A04E"
"53","UMBS",142,2726,"ACSA",22.5,"L","OS","07/12/2018","Joined at base 2727-2727","","A04E"
"54","UMBS",142,2727,"ACSA ",28.1,"L","OS","07/12/2018","","","A04E"
"55","UMBS",142,2728,"ACSA",13.2,"L","OS","07/12/2018","Smaller tree at base","","A04E"
"56","UMBS",142,2729,"POGR ",34.6,"L","OD","07/12/2018","","","A04E"
"57","UMBS",142,2730,"ACSA",12.4,"L","OS","07/12/2018","Smaller tree at base","","A04E"
"58","UMBS",142,2731,"POGR ",44.7,"L","OD","07/12/2018","","","A04E"
"59","UMBS",142,2732,"POGR ",50.2,"L","OD","07/12/2018","","","A04E"
"60","UMBS",143,2733,"ACPE",1.6,"L","SA","07/12/2018","in SW veg plot","","A04E"
"61","UMBS",143,2734,"POGR",41,"L","OD","07/12/2018","","","A04E"
"62","UMBS",143,2735,"ACSA",10.2,"L","OS","07/12/2018","Shares base with smaller tree","","A04E"
"63","UMBS",143,2736,"POGR",35.9,"L","OD","07/12/2018","","","A04E"
"64","UMBS",143,2737,"POGR",48.1,"L","OD","07/12/2018","","","A04E"
"65","UMBS",143,2738,"FAGR",11.5,"L","OS","07/12/2018","","","A04E"
"66","UMBS",143,2739,"FAGR",14.5,"L","OS","07/12/2018","","","A04E"
"67","UMBS",143,2740,"POGR",46,"D","OD","07/12/2018","","","A04E"
"68","UMBS",143,2741,"FAGR",19.3,"L","OS","07/12/2018","Shares base with smaller trees","","A04E"
"69","UMBS",143,2742,"ACSA",13,"L","OS","07/12/2018","","","A04E"
"70","UMBS",143,2743,"POGR",37.5,"L","OD","07/12/2018","","","A04E"
"71","UMBS",143,2744,"POGR",43,"L","OD","07/12/2018","","","A04E"
"72","UMBS",143,2745,"ACSA",23.5,"L","OS","07/12/2018","","","A04E"
"73","UMBS",145,2746,"POGR",38.4,"L","OD","07/12/2018","","","A04E"
"74","UMBS",143,2747,"FAGR",9.9,"D","UN","07/12/2018","","","A04E"
"75","UMBS",143,2748,"POGR",44.3,"L","OD","07/12/2018","","","A04E"
"76","UMBS",143,2749,"POGR",35.7,"L","OD","07/12/2018","","","A04E"
"77","UMBS",143,2750,"ACSA",30.3,"L","OS","07/12/2018","","","A04E"
"78","UMBS",143,2751,"POGR",33.1,"D","UN","07/12/2018","","","A04E"
"79","UMBS",143,2752,"ACSA",13.9,"L","OS","07/12/2018","2752 - 2753 share base","","A04E"
"80","UMBS",143,2753,"ACSA",24.2,"L","OS","07/12/2018","2752 - 2753 share base","","A04E"
"81","UMBS",143,2754,"POGR",54.8,"D","UN","07/12/2018","","","A04E"
"82","UMBS",143,2755,"POGR",47.2,"D","UN","07/12/2018","","","A04E"
"83","UMBS",143,2756,"POGR",44.9,"D","OD","07/12/2018","","","A04E"
"84","UMBS",143,2757,"ACSA",15,"L","OS","07/12/2018","2771 & 2757 share base","","A04E"
"85","UMBS",143,2758,"POGR",34.2,"D","UN","07/12/2018","","","A04E"
"86","UMBS",143,2759,"POGR",44.7,"D","UN","07/12/2018","","","A04E"
"87","UMBS",143,2760,"FAGR",11.3,"L","OS","07/12/2018","","","A04E"
"88","UMBS",143,2761,"POGR",42.7,"L","OD","07/12/2018","","","A04E"
"89","UMBS",143,2762,"FAGR",15.4,"L","UN","07/12/2018","","","A04E"
"90","UMBS",143,2763,"ACSA",18.8,"L","OS","07/12/2018","","","A04E"
"91","UMBS",145,2764,"POGR",52,"D","OS","07/12/2018","Taken slightly above DBH","","A04E"
"92","UMBS",143,2765,"POGR",39.1,"D","OD","07/12/2018","","","A04E"
"93","UMBS",143,2766,"POGR",46.5,"D","OS","07/12/2018","2766 - 2767 share base","","A04E"
"94","UMBS",143,2767,"POGR",31.9,"D","OS","07/12/2018","2766 - 2767 share base","","A04E"
"95","UMBS",143,2768,"POGR",49,"D","OD","07/12/2018","","","A04E"
"96","UMBS",143,2769,"ACSA",8.4,"L","OS","07/12/2018","2769 - 2770 share base","","A04E"
"97","UMBS",143,2770,"ACSA",8.5,"L","UN","07/12/2018","","","A04E"
"98","UMBS",143,2771,"ACSA",8.1,"L","UN","07/12/2018","2771 & 2757 share base","","A04E"
