"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","SubplotID"
"67","UMBS",241,2212,"ACRU",10.2,"D","OS","07/06/2018","","B04W"
"68","UMBS",241,2213,"ACRU",12.9,"L","OS","07/06/2018","2213-2214 share base","B04W"
"69","UMBS",241,2214,"ACRU",12.8,"L","OS","07/06/2018","2213-2214 share base","B04W"
"70","UMBS",241,2215,"POGR",34.3,"L","OD","07/06/2018","","B04W"
"71","UMBS",241,2216,"QURU",7.7,"L","OS","07/06/2018","REDACT, under minimum DBH","B04W"
"72","UMBS",241,2217,"ACRU",15.6,"L","OS","07/06/2018","2217-2218 share base","B04W"
"73","UMBS",241,2218,"ACRU",26.9,"L","OS","07/06/2018","2217-2218 share base","B04W"
"74","UMBS",241,2219,"ACRU",20.5,"L","OS","07/06/2018","","B04W"
"75","UMBS",241,2220,"POGR",43,"L","OD","07/06/2018","","B04W"
"76","UMBS",241,2221,"POGR",19.6,"D","UN","07/06/2018","","B04W"
"77","UMBS",241,2222,"ACSA",13.5,"L","OS","07/06/2018","2222-2223 share base","B04W"
"78","UMBS",241,2223,"ACSA",10.7,"L","UN","07/06/2018","2222-2223 share base","B04W"
"79","UMBS",241,2224,"ACSA",9.7,"L","UN","07/06/2018","","B04W"
"80","UMBS",241,2225,"POGR",21.8,"D","UN","07/06/2018","","B04W"
"81","UMBS",241,2226,"ACPE",2.8,"L","UN","07/06/2018","NW veg plot, 2226-2228 share base ","B04W"
"82","UMBS",241,2227,"ACPE",1.9,"L","UN","07/06/2018","NW veg plot, 2226-2228 share base","B04W"
"83","UMBS",241,2228,"ACPE",1.9,"L","UN","07/06/2018","NW veg plot, 2226-2228 share base","B04W"
"84","UMBS",241,2229,"ACRU",3.4,"L","UN","07/06/2018","NW veg plot","B04W"
"85","UMBS",241,2230,"POGR",31.6,"L","OD","07/06/2018","","B04W"
"86","UMBS",241,2231,"ACRU",13.6,"L","OS","07/06/2018","","B04W"
"87","UMBS",241,2232,"POGR",25,"D","OD","07/06/2018","","B04W"
"88","UMBS",241,2233,"POGR",22.1,"D","OS","07/06/2018","","B04W"
"89","UMBS",241,2234,"POGR",21.9,"D","UN","07/06/2018","","B04W"
"90","UMBS",240,2235,"ACRU",16.2,"L","OS","07/06/2018","in new plot 240","B04W"
"91","UMBS",241,92236,"POGR",23.6,"D","OD","07/06/2018","2236-2244 accidentally labeled with a 9 in front","B04W"
"92","UMBS",241,92237,"BEPA",17.3,"L","OS","07/06/2018","2237-2239 share base","B04W"
"93","UMBS",241,92238,"BEPA",23.9,"L","OS","07/06/2018","2237-2239 share base","B04W"
"94","UMBS",241,92239,"BEPA",26.8,"L","OS","07/06/2018","2237-2239 share base","B04W"
"95","UMBS",241,92240,"ACRU",15.2,"L","OS","07/06/2018","2240-2243 share base, 2240 taken above DBH","B04W"
"96","UMBS",241,92241,"ACRU",14.5,"L","UN","07/06/2018","2240-2243 share base","B04W"
"97","UMBS",241,92242,"ACRU",8.6,"L","OS","07/06/2018","2240-2243 share base","B04W"
"98","UMBS",241,92243,"ACRU",10.4,"L","OS","07/06/2018","2240-2243 share base","B04W"
"99","UMBS",240,92244,"ACRU",13.8,"L","OS","07/06/2018","in new plot 240","B04W"
"100","UMBS",240,2245,"POGR",25.9,"L","OD","07/06/2018","in new plot 240","B04W"
