"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","SubplotID"
"135","UMBS",-99999,-99999,"",-99999,"","","","",NA
"136","UMBS",-99999,-99999,"",-99999,"","","","",NA
"137","UMBS",-99999,-99999,"",-99999,"","","","",NA
"138","UMBS",-99999,-99999,"",-99999,"","","","",NA
"139","UMBS",-99999,-99999,"",-99999,"","","","",NA
"140","UMBS",-99999,-99999,"",-99999,"","","","",NA
"141","UMBS",-99999,-99999,"",-99999,"","","","",NA
"142","UMBS",-99999,-99999,"",-99999,"","","","",NA
"143","UMBS",-99999,-99999,"",-99999,"","","","",NA
"144","UMBS",-99999,-99999,"",-99999,"","","","",NA
"145","UMBS",-99999,-99999,"",-99999,"","","","",NA
"146","UMBS",-99999,-99999,"",-99999,"","","","",NA
"147","UMBS",-99999,-99999,"",-99999,"","","","",NA
"148","UMBS",-99999,-99999,"",-99999,"","","","",NA
"149","UMBS",-99999,-99999,"",-99999,"","","","",NA
"150","UMBS",-99999,-99999,"",-99999,"","","","",NA
"151","UMBS",-99999,-99999,"",-99999,"","","","",NA
"152","UMBS",-99999,-99999,"",-99999,"","","","",NA
"153","UMBS",-99999,-99999,"",-99999,"","","","",NA
"154","UMBS",-99999,-99999,"",-99999,"","","","",NA
"155","UMBS",-99999,-99999,"",-99999,"","","","",NA
"156","UMBS",-99999,-99999,"",-99999,"","","","",NA
"157","UMBS",-99999,-99999,"",-99999,"","","","",NA
"158","UMBS",-99999,-99999,"",-99999,"","","","",NA
"159","UMBS",-99999,-99999,"",-99999,"","","","",NA
"160","UMBS",-99999,-99999,"",-99999,"","","","",NA
"161","UMBS",-99999,-99999,"",-99999,"","","","",NA
"162","UMBS",-99999,-99999,"",-99999,"","","","",NA
"163","UMBS",-99999,-99999,"",-99999,"","","","",NA
"164","UMBS",-99999,-99999,"",-99999,"","","","",NA
"165","UMBS",-99999,-99999,"",-99999,"","","","",NA
"166","UMBS",-99999,-99999,"",-99999,"","","","",NA
"167","UMBS",-99999,-99999,"",-99999,"","","","",NA
"168","UMBS",-99999,-99999,"",-99999,"","","","",NA
"169","UMBS",-99999,-99999,"",-99999,"","","","",NA
"170","UMBS",-99999,-99999,"",-99999,"","","","",NA
"171","UMBS",-99999,-99999,"",-99999,"","","","",NA
"172","UMBS",-99999,-99999,"",-99999,"","","","",NA
"173","UMBS",-99999,-99999,"",-99999,"","","","",NA
"174","UMBS",-99999,-99999,"",-99999,"","","","",NA
"175","UMBS",-99999,-99999,"",-99999,"","","","",NA
"176","UMBS",-99999,-99999,"",-99999,"","","","",NA
"177","UMBS",-99999,-99999,"",-99999,"","","","",NA
"178","UMBS",-99999,-99999,"",-99999,"","","","",NA
"179","UMBS",-99999,-99999,"",-99999,"","","","",NA
"180","UMBS",-99999,-99999,"",-99999,"","","","",NA
"181","UMBS",-99999,-99999,"",-99999,"","","","",NA
"182","UMBS",-99999,-99999,"",-99999,"","","","",NA
"183","UMBS",-99999,-99999,"",-99999,"","","","",NA
"184","UMBS",-99999,-99999,"",-99999,"","","","",NA
"185","UMBS",-99999,-99999,"",-99999,"","","","",NA
"186","UMBS",-99999,-99999,"",-99999,"","","","",NA
"187","UMBS",-99999,-99999,"",-99999,"","","","",NA
"188","UMBS",-99999,-99999,"",-99999,"","","","",NA
"189","UMBS",-99999,-99999,"",-99999,"","","","",NA
"190","UMBS",-99999,-99999,"",-99999,"","","","",NA
"191","UMBS",-99999,-99999,"",-99999,"","","","",NA
"192","UMBS",-99999,-99999,"",-99999,"","","","",NA
"193","UMBS",-99999,-99999,"",-99999,"","","","",NA
"194","UMBS",-99999,-99999,"",-99999,"","","","",NA
"195","UMBS",-99999,-99999,"",-99999,"","","","",NA
"196","UMBS",-99999,-99999,"",-99999,"","","","",NA
"197","UMBS",-99999,-99999,"",-99999,"","","","",NA
"198","UMBS",-99999,-99999,"",-99999,"","","","",NA
"199","UMBS",-99999,-99999,"",-99999,"","","","",NA
"200","UMBS",-99999,-99999,"",-99999,"","","","",NA
"201","UMBS",-99999,-99999,"",-99999,"","","","",NA
"202","UMBS",-99999,-99999,"",-99999,"","","","",NA
"203","UMBS",-99999,-99999,"",-99999,"","","","",NA
"204","UMBS",-99999,-99999,"",-99999,"","","","",NA
"205","UMBS",-99999,-99999,"",-99999,"","","","",NA
"206","UMBS",-99999,-99999,"",-99999,"","","","",NA
"207","UMBS",-99999,-99999,"",-99999,"","","","",NA
"208","UMBS",-99999,-99999,"",-99999,"","","","",NA
"209","UMBS",-99999,-99999,"",-99999,"","","","",NA
"210","UMBS",-99999,-99999,"",-99999,"","","","",NA
"211","UMBS",-99999,-99999,"",-99999,"","","","",NA
"212","UMBS",-99999,-99999,"",-99999,"","","","",NA
"213","UMBS",-99999,-99999,"",-99999,"","","","",NA
"214","UMBS",-99999,-99999,"",-99999,"","","","",NA
"215","UMBS",-99999,-99999,"",-99999,"","","","",NA
"216","UMBS",-99999,-99999,"",-99999,"","","","",NA
"217","UMBS",-99999,-99999,"",-99999,"","","","",NA
"218","UMBS",-99999,-99999,"",-99999,"","","","",NA
"219","UMBS",-99999,-99999,"",-99999,"","","","",NA
"220","UMBS",-99999,-99999,"",-99999,"","","","",NA
"221","UMBS",-99999,-99999,"",-99999,"","","","",NA
"222","UMBS",-99999,-99999,"",-99999,"","","","",NA
"223","UMBS",-99999,-99999,"",-99999,"","","","",NA
"224","UMBS",-99999,-99999,"",-99999,"","","","",NA
"225","UMBS",-99999,-99999,"",-99999,"","","","",NA
"226","UMBS",-99999,-99999,"",-99999,"","","","",NA
