"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes"
"416","UMBS",-99999,-99999,"",-99999,"","","",""
"417","UMBS",-99999,-99999,"",-99999,"","","",""
"418","UMBS",-99999,-99999,"",-99999,"","","",""
"419","UMBS",-99999,-99999,"",-99999,"","","",""
"420","UMBS",-99999,-99999,"",-99999,"","","",""
"421","UMBS",-99999,-99999,"",-99999,"","","",""
"422","UMBS",-99999,-99999,"",-99999,"","","",""
"423","UMBS",-99999,-99999,"",-99999,"","","",""
"424","UMBS",-99999,-99999,"",-99999,"","","",""
"425","UMBS",-99999,-99999,"",-99999,"","","",""
"426","UMBS",-99999,-99999,"",-99999,"","","",""
"427","UMBS",-99999,-99999,"",-99999,"","","",""
"428","UMBS",-99999,-99999,"",-99999,"","","",""
"429","UMBS",-99999,-99999,"",-99999,"","","",""
"430","UMBS",-99999,-99999,"",-99999,"","","",""
"431","UMBS",-99999,-99999,"",-99999,"","","",""
"432","UMBS",-99999,-99999,"",-99999,"","","",""
"433","UMBS",-99999,-99999,"",-99999,"","","",""
"434","UMBS",-99999,-99999,"",-99999,"","","",""
"435","UMBS",-99999,-99999,"",-99999,"","","",""
"436","UMBS",-99999,-99999,"",-99999,"","","",""
"437","UMBS",-99999,-99999,"",-99999,"","","",""
"438","UMBS",-99999,-99999,"",-99999,"","","",""
"439","UMBS",-99999,-99999,"",-99999,"","","",""
"440","UMBS",-99999,-99999,"",-99999,"","","",""
"441","UMBS",-99999,-99999,"",-99999,"","","",""
