"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes"
"78","UMBS",431,461,"FAGR",10.2,"L","OS","6/25/2018","in a cluster with 462 & 463, taken above dbh"
"79","UMBS",431,462,"FAGR",8,"L","OS","6/25/2018","in a cluster with 461 & 463"
"80","UMBS",431,463,"FAGR",12.4,"L","OS","6/25/2018","In a plot with 461 & 462"
"81","UMBS",431,464,"POGR",17.9,"L","OD","6/25/2018",""
"82","UMBS",431,465,"ACRU",14,"L","OS","6/25/2018","in a cluster with 466"
"83","UMBS",431,466,"ACRU",9.7,"L","UN","6/25/2018","in a cluster with 465"
"84","UMBS",431,467,"QURU",14.1,"L","OS","6/25/2018",""
"85","UMBS",431,468,"PIST",8.2,"L","OS","6/25/2018",""
"86","UMBS",431,469,"QURU",16.3,"L","OS","6/25/2018",""
"87","UMBS",431,470,"PIRE",13.7,"L","OS","6/25/2018",""
"88","UMBS",431,471,"QURU",11.2,"L","OS","6/25/2018",""
"89","UMBS",431,472,"PIRE",21.1,"L","OS","6/25/2018",""
"90","UMBS",431,473,"PIRE",8.9,"L","OS","6/25/2018",""
"91","UMBS",431,474,"QURU",29.2,"L","OD","6/25/2018",""
"92","UMBS",431,475,"PIST",8.7,"L","UN","6/25/2018",""
"93","UMBS",431,476,"QURU",25,"L","OD","6/25/2018","in a cluster with 477"
"94","UMBS",431,477,"QURU",33.4,"L","OD","6/25/2018","in a clayer with 476"
"95","UMBS",431,478,"POGR",30.9,"L","OD","6/25/2018",""
"96","UMBS",431,479,"QURU",23.9,"L","OD","6/25/2018","in a cluser"
"97","UMBS",431,480,"POGR",22,"L","OD","6/25/2018",""
"98","UMBS",431,481,"QURU",20.1,"L","OD","6/25/2018",""
"99","UMBS",431,482,"PIST",9.8,"L","OS","6/25/2018",""
"100","UMBS",431,483,"ACRU",9.5,"L","OS","6/25/2018",""
"101","UMBS",431,484,"POGR",17.9,"L","OD","6/25/2018",""
"102","UMBS",431,485,"QURU",20.1,"L","OD","6/25/2018",""
"103","UMBS",431,486,"ACRU",8.1,"L","UN","6/25/2018","in a cluster with 487 & 488 & 489"
"104","UMBS",431,487,"ACRU",14.5,"D","OS","6/25/2018","In a cluster with 486 & 488 & 489"
"105","UMBS",431,488,"ACRU",14.6,"D","OS","6/25/2018","In a cluster with 486 487 489"
"106","UMBS",431,489,"ACRU",12,"D","OS","6/25/2018","In a cluster with 486 487 488"
"107","UMBS",428,490,"ACRU",8.9,"L","OS","6/25/2018","in a cluster, In a new plot, new plot number is 428"
"108","UMBS",431,491,"ACRU",10.4,"L","OS","6/25/2018",""
"109","UMBS",431,492,"QURU",23.5,"L ","OD","6/25/2018",""
"110","UMBS",431,493,"POGR",28.5,"L","OD","6/25/2018","in a cluster with 494"
"111","UMBS",431,494,"POGR",13.4,"D","UN","6/25/2018","in a cluster with 493"
"112","UMBS",431,495,"POGR",29.6,"L","OD","6/25/2018",""
"113","UMBS",431,496,"PIST",22.8,"L","OS","6/25/2018",""
"114","UMBS",-99999,-99999,"",-99999,"","","",""
"115","UMBS",-99999,-99999,"",-99999,"","","",""
"116","UMBS",-99999,-99999,"",-99999,"","","",""
"117","UMBS",-99999,-99999,"",-99999,"","","",""
"118","UMBS",-99999,-99999,"",-99999,"","","",""
"119","UMBS",-99999,-99999,"",-99999,"","","",""
"120","UMBS",-99999,-99999,"",-99999,"","","",""
"121","UMBS",-99999,-99999,"",-99999,"","","",""
"122","UMBS",-99999,-99999,"",-99999,"","","",""
"123","UMBS",-99999,-99999,"",-99999,"","","",""
"124","UMBS",-99999,-99999,"",-99999,"","","",""
"125","UMBS",-99999,-99999,"",-99999,"","","",""
"126","UMBS",-99999,-99999,"",-99999,"","","",""
"127","UMBS",-99999,-99999,"",-99999,"","","",""
"128","UMBS",-99999,-99999,"",-99999,"","","",""
"129","UMBS",-99999,-99999,"",-99999,"","","",""
"130","UMBS",-99999,-99999,"",-99999,"","","",""
"131","UMBS",-99999,-99999,"",-99999,"","","",""
"132","UMBS",-99999,-99999,"",-99999,"","","",""
"133","UMBS",-99999,-99999,"",-99999,"","","",""
"134","UMBS",-99999,-99999,"",-99999,"","","",""
"135","UMBS",-99999,-99999,"",-99999,"","","",""
"136","UMBS",-99999,-99999,"",-99999,"","","",""
"137","UMBS",-99999,-99999,"",-99999,"","","",""
"138","UMBS",-99999,-99999,"",-99999,"","","",""
"139","UMBS",-99999,-99999,"",-99999,"","","",""
"140","UMBS",-99999,-99999,"",-99999,"","","",""
"141","UMBS",-99999,-99999,"",-99999,"","","",""
"142","UMBS",-99999,-99999,"",-99999,"","","",""
"143","UMBS",-99999,-99999,"",-99999,"","","",""
"144","UMBS",-99999,-99999,"",-99999,"","","",""
"145","UMBS",-99999,-99999,"",-99999,"","","",""
"146","UMBS",-99999,-99999,"",-99999,"","","",""
"147","UMBS",-99999,-99999,"",-99999,"","","",""
