sep=,
Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
122, 18.00,03099,   1, 238,   0,1454,1375,1421,14.10,0.32,14.10,88.70,-1,45.5641747,-84.7274496,3099
122, 18.00,03100,   1,  82,   0,1457,1377,1422,14.17,0.65,14.19,87.38,-3,45.5641777,-84.7274485,3100
122, 18.00,03101,   1, 150,   0,1499,1408,1514,11.44,-9.25,14.72,128.96,-12,45.5640893,-84.7274870,3101
122, 18.00,03102,   1, 166,   0,1344,1264,1315,13.03,-0.45,13.04,91.97,-3,45.5641681,-84.7274635,3102
122, 18.00,03103,   1, 274,   0,1311,1233,1283,12.66,-0.38,12.66,91.72,1,45.5641688,-84.7274683,3103
122, 18.00,03104,   1, 297,   0, 616, 550, 623,4.31,-3.89,5.81,132.08,-3,45.5641393,-84.7275764,3104
122, 18.00,03105,   1, 202,   0, 665, 594, 662,5.80,-2.48,6.31,113.16,-10,45.5641516,-84.7275569,3105
122, 18.00,03106,   1, 105,   0, 883, 824, 898,5.72,-6.50,8.65,138.64,-5,45.5641155,-84.7275594,3106
122, 18.00,03107,   1, 305,   0, 902, 854, 930,4.39,-7.65,8.82,150.15,0,45.5641055,-84.7275768,3107
122, 18.00,03108,   1, 243,   0,1630,1559,1659,10.40,-12.28,16.09,139.74,-1,45.5640623,-84.7275015,3108
122, 18.00,03110,   1, 110,   0,1817,1744,1845,11.80,-13.61,18.01,139.06,-8,45.5640500,-84.7274840,3110
122, 18.00,03111,   1, 105,   0,1785,1715,1798,13.44,-11.46,17.66,130.45,-5,45.5640690,-84.7274623,3111
122, 18.00,03113,   1, 152,   0,1444,1399,1469,7.94,-11.94,14.34,146.38,-4,45.5640660,-84.7275329,3113
122, 18.00,03114,   1, 114,   0,1561,1534,1678,2.56,-15.70,15.91,170.74,-2,45.5640336,-84.7276032,3114
122, 18.00,03115,   1, 383,   0,1633,1586,1684,6.93,-14.65,16.21,154.67,-17,45.5640419,-84.7275468,3115
122, 18.00,03116,   1, 538,   0, 476, 431, 515,1.59,-4.17,4.46,159.10,-6,45.5641375,-84.7276114,3116
122, 18.00,03117,   1, 107,   0, 547, 509, 589,1.54,-5.20,5.42,163.50,1,45.5641283,-84.7276124,3117
122, 18.00,03118,   1, 136,   0, 582, 546, 625,1.63,-5.55,5.78,163.65,7,45.5641251,-84.7276114,3118
122, 18.00,03119,   1, 220,   0, 289, 289, 353,0.14,-2.90,2.90,177.24,0,45.5641493,-84.7276295,3119
122, 18.00,03120,   1, 194,   0, 902, 905, 975,-0.08,-9.21,9.21,180.50,1,45.5640926,-84.7276346,3120
122, 18.00,03121,   1,  78,   0, 931, 903, 985,2.52,-9.05,9.39,164.46,-37,45.5640934,-84.7276013,3121
122, 18.00,03122,   1, 143,   0,1167,1158,1244,0.93,-11.83,11.87,175.50,-8,45.5640688,-84.7276226,3122
122, 18.00,03123,   1, 288,   0,1491,1627,1570,-15.53,-0.69,15.54,267.46,1,45.5641732,-84.7278293,3123
122, 18.00,03125,   1, 442,   0,1762,1790,1833,-5.46,-16.92,17.78,197.87,2,45.5640246,-84.7277062,3125
122, 18.00,03126,   1, 208,   0,1334,1359,1407,-3.35,-13.18,13.60,194.26,1,45.5640578,-84.7276779,3126
122, 18.00,03127,   1, 471,   0, 961,1019,1029,-6.90,-6.99,9.82,224.60,-12,45.5641143,-84.7277211,3127
122, 18.00,03128,   1, 401,   0, 888, 919, 965,-2.36,-8.76,9.08,195.05,8,45.5640972,-84.7276636,3128
122, 18.00,03129,   1, 339,   0,1065,1071,1125,-0.44,-10.73,10.74,182.33,14,45.5640790,-84.7276397,3129
122, 18.00,03130,   1, 123,   0,1846,1789,1839,17.02,-6.53,18.23,110.98,2,45.5641124,-84.7274147,3130
122, 18.00,03131,   1, 506,   0,1486,1595,1567,-14.88,-3.51,15.29,256.73,0,45.5641476,-84.7278220,3131
122, 18.00,03132,   1, 103,   0,1350,1431,1437,-11.48,-8.10,14.05,234.82,2,45.5641055,-84.7277802,3132
122, 18.00,03133,   1, 197,   0, 172, 214, 247,-0.09,-1.79,1.79,182.88,1,45.5641593,-84.7276320,3133
